period,user_id,daily_pageviews
2018-10-25T00:00:00Z,173,7
2018-10-31T00:00:00Z,173,2
2018-11-15T00:00:00Z,173,6
2018-11-16T00:00:00Z,173,8
2018-10-01T00:00:00Z,187,8
2018-10-03T00:00:00Z,187,63
2018-10-04T00:00:00Z,187,29
2018-10-05T00:00:00Z,187,17
2018-10-10T00:00:00Z,187,38
2018-10-11T00:00:00Z,187,22
2018-10-12T00:00:00Z,187,54
2018-10-15T00:00:00Z,187,19
2018-10-16T00:00:00Z,187,22
2018-10-17T00:00:00Z,187,2
2018-10-22T00:00:00Z,187,14
2018-10-23T00:00:00Z,187,7
2018-10-24T00:00:00Z,187,36
2018-10-25T00:00:00Z,187,48
2018-10-26T00:00:00Z,187,11
2018-10-29T00:00:00Z,187,13
2018-10-30T00:00:00Z,187,6
2018-10-31T00:00:00Z,187,12
2018-11-02T00:00:00Z,187,2
2018-11-05T00:00:00Z,187,2
2018-11-07T00:00:00Z,187,22
2018-11-13T00:00:00Z,187,2
2018-11-15T00:00:00Z,187,1
2018-09-11T00:00:00Z,205,4
2018-09-21T00:00:00Z,205,9
2018-09-26T00:00:00Z,205,19
2018-09-27T00:00:00Z,205,19
2018-10-02T00:00:00Z,205,1
2018-10-04T00:00:00Z,205,62
2018-10-05T00:00:00Z,205,5
2018-10-08T00:00:00Z,205,10
2018-10-09T00:00:00Z,205,1
2018-10-10T00:00:00Z,205,3
2018-10-11T00:00:00Z,205,2
2018-10-15T00:00:00Z,205,1
2018-10-16T00:00:00Z,205,1
2018-10-19T00:00:00Z,205,1
2018-10-25T00:00:00Z,205,13
2018-10-31T00:00:00Z,205,1
2018-11-05T00:00:00Z,205,6
2018-11-06T00:00:00Z,205,12
2018-11-07T00:00:00Z,205,1
2018-11-08T00:00:00Z,205,35
2018-11-09T00:00:00Z,205,1
2018-11-10T00:00:00Z,205,1
2018-11-12T00:00:00Z,205,1
2018-11-13T00:00:00Z,205,41
2018-09-23T00:00:00Z,207,8
2018-09-26T00:00:00Z,207,3
2018-09-27T00:00:00Z,207,2
2018-10-01T00:00:00Z,207,9
2018-10-08T00:00:00Z,207,1
2018-10-10T00:00:00Z,207,4
2018-10-11T00:00:00Z,207,2
2018-10-12T00:00:00Z,207,2
2018-10-17T00:00:00Z,207,17
2018-10-18T00:00:00Z,207,1
2018-10-24T00:00:00Z,207,42
2018-10-25T00:00:00Z,207,14
2018-10-31T00:00:00Z,207,21
2018-11-01T00:00:00Z,207,14
2018-11-02T00:00:00Z,207,2
2018-11-07T00:00:00Z,207,23
2018-11-08T00:00:00Z,207,39
2018-11-13T00:00:00Z,207,4
2018-11-14T00:00:00Z,207,20
2018-09-19T00:00:00Z,295,10
2018-09-21T00:00:00Z,295,7
2018-09-24T00:00:00Z,295,3
2018-09-25T00:00:00Z,295,19
2018-09-26T00:00:00Z,295,4
2018-09-27T00:00:00Z,295,8
2018-09-28T00:00:00Z,295,12
2018-09-30T00:00:00Z,295,3
2018-10-01T00:00:00Z,295,28
2018-10-02T00:00:00Z,295,9
2018-10-03T00:00:00Z,295,5
2018-10-07T00:00:00Z,295,9
2018-10-08T00:00:00Z,295,7
2018-10-09T00:00:00Z,295,38
2018-10-10T00:00:00Z,295,3
2018-10-16T00:00:00Z,295,8
2018-10-17T00:00:00Z,295,12
2018-10-19T00:00:00Z,295,3
2018-10-20T00:00:00Z,295,3
2018-10-22T00:00:00Z,295,5
2018-10-25T00:00:00Z,295,6
2018-10-26T00:00:00Z,295,11
2018-10-27T00:00:00Z,295,36
2018-10-29T00:00:00Z,295,29
2018-10-30T00:00:00Z,295,9
2018-10-31T00:00:00Z,295,1
2018-11-01T00:00:00Z,295,14
2018-11-05T00:00:00Z,295,28
2018-11-06T00:00:00Z,295,16
2018-11-07T00:00:00Z,295,9
2018-11-08T00:00:00Z,295,15
2018-11-12T00:00:00Z,295,24
2018-11-13T00:00:00Z,295,22
2018-11-14T00:00:00Z,295,2
2018-11-15T00:00:00Z,295,18
2018-11-16T00:00:00Z,295,5
2018-09-26T00:00:00Z,309,8
2018-09-27T00:00:00Z,309,5
2018-10-04T00:00:00Z,309,27
2018-10-09T00:00:00Z,309,1
2018-09-11T00:00:00Z,482,17
2018-09-18T00:00:00Z,482,20
2018-09-19T00:00:00Z,482,1
2018-09-20T00:00:00Z,482,3
2018-09-21T00:00:00Z,482,19
2018-09-24T00:00:00Z,482,6
2018-09-26T00:00:00Z,482,17
2018-09-27T00:00:00Z,482,1
2018-10-02T00:00:00Z,482,1
2018-10-03T00:00:00Z,482,22
2018-10-04T00:00:00Z,482,11
2018-10-05T00:00:00Z,482,3
2018-10-09T00:00:00Z,482,1
2018-10-11T00:00:00Z,482,8
2018-10-12T00:00:00Z,482,1
2018-10-16T00:00:00Z,482,1
2018-10-19T00:00:00Z,482,4
2018-10-20T00:00:00Z,482,1
2018-10-22T00:00:00Z,482,7
2018-10-31T00:00:00Z,482,9
2018-11-04T00:00:00Z,482,5
2018-11-06T00:00:00Z,482,1
2018-11-07T00:00:00Z,482,1
2018-11-08T00:00:00Z,482,1
2018-09-24T00:00:00Z,495,15
2018-09-25T00:00:00Z,495,8
2018-09-26T00:00:00Z,495,11
2018-09-28T00:00:00Z,495,13
2018-10-02T00:00:00Z,495,7
2018-10-03T00:00:00Z,495,12
2018-10-04T00:00:00Z,495,1
2018-10-09T00:00:00Z,495,9
2018-10-10T00:00:00Z,495,6
2018-10-12T00:00:00Z,495,3
2018-10-16T00:00:00Z,495,4
2018-10-17T00:00:00Z,495,9
2018-10-19T00:00:00Z,495,4
2018-10-24T00:00:00Z,495,24
2018-11-05T00:00:00Z,495,5
2018-11-07T00:00:00Z,495,3
2018-09-24T00:00:00Z,596,30
2018-10-01T00:00:00Z,596,27
2018-10-02T00:00:00Z,596,12
2018-10-03T00:00:00Z,596,5
2018-10-11T00:00:00Z,596,1
2018-10-19T00:00:00Z,596,5
2018-10-22T00:00:00Z,596,2
2018-09-20T00:00:00Z,645,3
